Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Description,Manufacturer
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07QX58HGR/ref=sxin_25_trfobq2av2_5_B07QX58HGR?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07QX58HGR&pd_rd_r=d53137f7-4d62-4d15-ac53-25f8e0ef2d36&pd_rd_w=ACuJf&pd_rd_wg=zT0mu&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=ETRPZNKV5RAD6YVGYFFE&qid=1690300872&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,,285,4.0,217,,,
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07QTQ3CS7/ref=sxin_25_trfobq2av2_6_B07QTQ3CS7?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07QTQ3CS7&pd_rd_r=d53137f7-4d62-4d15-ac53-25f8e0ef2d36&pd_rd_w=ACuJf&pd_rd_wg=zT0mu&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=ETRPZNKV5RAD6YVGYFFE&qid=1690300872&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,,298,4.2,82,,,
https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RSCPH4N/ref=sxin_25_trfobq2av2_7_B07RSCPH4N?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07RSCPH4N&pd_rd_r=d53137f7-4d62-4d15-ac53-25f8e0ef2d36&pd_rd_w=ACuJf&pd_rd_wg=zT0mu&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=ETRPZNKV5RAD6YVGYFFE&qid=1690300872&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,,689,4.5,"10,421",,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-10,TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop,689,3.8,"2,327",,,
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-11,NORTH ZONE Casual Waterproof Laptop Backpack/Office,630,4.0,486,B0BS6QQZYN,,Brand: NORTH ZONE
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-12,Half Moon Aztec 37L School,649,3.6,162,,,
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-13,Northzone Lightweight school,549,4.0,125,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-14,ADISA 15.6 inch Laptop Backpack Office,499,3.9,"1,030",,,
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-15,Gear CarryOn 16L Foldable Water Resistant School,224,3.7,"6,852",,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690300872&sprefix=ba%2Caps%2C283&sr=8-16,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,4.3,"3,742",,,
