Product URL,Product Name,Product Price,Rating,Number of reviews,ASIN,Product Description,Manufacturer
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-25,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack,₹699,3.8,582,B0BLVQ9NTD,"<img alt=""OS-HALF MOON LOGO"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""OS-HALF MOON LOGO"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/81cd1993-4f0f-474d-b1e1-764263403330.__CR0,0,600,180_PT0_SX600_V1___.png""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-26,Half Moon Large 37L Laptop,₹849,3.9,3247,B0BHX7GY16,"<img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""casual backpacks , bags for boys , office bag , laptop bag , college backpack"" src=""https://m.media-amazon.com/images/S/aplus-media/sc/a8770742-000f-457c-80f7-183da3da8aa6.__CR0,19,1200,360_PT0_SX600_V1___.jpg""/></noscript>",Visit the Half Moon Store
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-27,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹499,4.0,20051,B07Q7CNPMV,,Visit the Safari Store
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-28,NIVIA Basic Duffle Polyester,₹269,4.0,3701,B07FWQ9HRV,"Strong stitching at major stress points provide long-lasting durability against daily activitiesAdjustable shoulder strapMain large compartment with double zip closureHigh quality double zippers, easy to accessHighly water-resistant finish to save inner items from water splashes",Visit the Nivia Store
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-29,ADISA 31 Ltrs Casual Backpack School College,₹399,3.8,138,B0BX3QFVSM,,Visit the ADISA Store
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-30,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel",₹680,3.6,184,B0BYB631NR,,Visit the TRUE HUMAN Store
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-31,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),₹1439,4.5,4040,B089QBD333,"<img alt=""logo"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/vc/c7c720af-67e2-494e-9949-deeec13cd033.__CR0,0,2500,750_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""logo"" src=""https://m.media-amazon.com/images/S/aplus-media/vc/c7c720af-67e2-494e-9949-deeec13cd033.__CR0,0,2500,750_PT0_SX600_V1___.jpg""/></noscript>",Visit the Arctic Fox Store
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1690306529&sprefix=ba%2Caps%2C283&sr=8-32,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office,₹549,3.9,7669,B088B4P6ZW,,Visit the Martucci Store
https://www.amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1690306534&sprefix=ba%2Caps%2C283&sr=8-33,"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School",₹849,4.0,1770,B07VT3F795,"<img alt=""PAZZO, Backpacks, Duffel, Rucksacks, Accessories, Travel Gear"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media/sc/89965c87-a0f0-4a36-b5bc-8eabfab4984e.__CR0,393,850,255_PT0_SX600_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""PAZZO, Backpacks, Duffel, Rucksacks, Accessories, Travel Gear"" src=""https://m.media-amazon.com/images/S/aplus-media/sc/89965c87-a0f0-4a36-b5bc-8eabfab4984e.__CR0,393,850,255_PT0_SX600_V1___.jpg""/></noscript>",Visit the PAZZO Store
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1690306534&sprefix=ba%2Caps%2C283&sr=8-34,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0,1456,B09QL81ZHB,"<img alt=""dd"" class=""a-lazy-loaded"" data-src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/86d5e20f-319b-4352-ab48-45953f406df5.__CR0,0,1500,1500_PT0_SX300_V1___.jpg"" src=""https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif""/><noscript><img alt=""dd"" src=""https://m.media-amazon.com/images/S/aplus-media-library-service-media/86d5e20f-319b-4352-ab48-45953f406df5.__CR0,0,1500,1500_PT0_SX300_V1___.jpg""/></noscript>",Visit the WildHorn Store
